PID,TITLE,AUTHORS
A881011,TRIPHONE ANALYSIS_ A COMBINED METHOD FOR THE CORRECTION OF ORTHOGRAPHICAL AND TYPOGRAPHICAL ERRORS_,#BRIGITTE_VAN_BERKELT#KOENRAAD_DE_SMEDT
A881012,CREATING AND QUERYING LEXICAL DATA BASES,#MARY_S_NEFF#ROY_J_BYRD#OMNEYA_A_RIZK
A881013,CN YUR CMPUTR RAED THS_,#LINDA_G_MEANS
A881014,BUILDING A LARGE THESAURUS FOR INFORMATION RETRIEVAL,#EDWARD_A_FOX#J_TERRY_NUTTER#THOMAS_AHLSWEDE#MARTHA_EVENS#JUDITH_MARKOWITZ
A881015,APPLICATION_SPECIFIC ISSUES IN NATURAL LANGUAGE INTERFACER DEVELOPMENT FOR A DIAGNOSTIC EXPERT SYSTEM,#KAREN_L_RYAN#REBECCA_ROOT#DUANE_OLAWSKY
A881016,THE MULTIVOC TEXT_TO_SPEECH SYSTEM,#OLIVIER_M_EMORINE#PIERRE_M_MARTIN
A881017,Structure from Anarchy_ Meta Level Representation of Expert System Propositions for Natural Language Interfaces_,#GALINA_DATSKOVSKY_MOERDLER
A881018,INTEGRATING TOP_DOWN AND BOTTOM_UP STRATEGIES IN A TEXT PROCESSING SYSTEM,#LISA_F_RAU#PAUL_S_JACOBS
A881019,A Stochastic Parts Program and Noun Phrase Parser for Unrestricted Text,#KENNETH_WARD_CHURCH
A881020,A TOOL FOR INVESTIGATING THE SYNONYMY RELATION IN A SENSE DISAMBIGUATED THESAURUS,#MARTIN_S_CHODOROW#YAEL_RAVIN#LTOWARD_E_SACHAR
A881021,DICTIONARY TEXT ENTRIES AS A SOURCE OF KNOWLEDGE FOR SYNTACTIC AND OTHER DISAMBIGUATIONS,#KAREN_JENSEN#JEANLOUIS_BINOT
A881022,EUROTRA PRACTICAL EXPERIENCE WITH A MULTILINGUAL MACHINE TRANSLATION SYSTEM UNDER DEVELOPMENT,#GIOVANNI_BVARILE_#PETER_LAU
A881023,VALENCY AND MT_ RECENT DEVELOPMENTS IN THE METAL SYSTEM,#RUDI_GEBRUERS
A881024,NATURAL LANGUAGE INTERFACES_ PRESENT AND FUTURE,#NORMAN_K_SONDHEIMER
A881025,AUTOMATICALLY GENERATING NATURAL LANGUAGE REPORTS IN AN OFFICE ENVIRONMENT,#JUGAL_KALITA#SUNIL_SHENDE
A881026,LUKE_ AN EXPERIMENT IN THE EARLY INTEGRATION OF NATURAL LANGUAGE PROCESSING,#DAVID_A_WROBLEWSKI#ELAINE_A_RICH
A881027,THE EXPERIENCE OF DEVELOPING A LARGE_SCALE NATURAL LANGUAGE TEXT PROCESSING SYSTEM_ CRITIQUE,#STEPHEN_D_RICHARDSON#LISA_C_BRADENHARDER
A881028,COMPUTATIONAL TECHNIQUES FOR IMPROVED NAME SEARCH,#BEATRICE_T_OSHIKA#FILIP_MACHI#BRUCE_EVANS#JANET_TOM
A881029,THE TIC_ PARSING INTERESTING TEXT_,#DAVID_ALLPORT
A881030,FINDING CLAUSES IN UNRESTRICTED TEXT BY FINITARY AND STOCHASTIC METHODS,#EVA_I_EJERHED
A881031,MORPHOLOGICAL PROCESSING IN THE NABU SYSTEM,#JONATHAN_SLOCUM
A881032,Localizing Expression of Ambiguity,#JOHN_BEAR#JERRY_R_HOBBS
A881033,COMBINATORIAL DISAMBIGUATION,#P_S_NEWMAN
A881034,CANONICAL REPRESENTATION IN NLP SYSTEM DESIGN_ A CRITICAL EVALUATION,#KENT_WITTENBURG#JIM_BARNETT
A921001,Deriving Database Queries from Logical Forms by Abductive Definition Expansion,#MANNY_RAYNER#HIYAN_ALSHAWI
A921002,A Dialog Control Algorithm and Its Performance,#RONNIE_W_SMITH#D__RICHARD_HIPP#ALAN_W_BIERMANN
A921003,AN APPROACH TO MULTILEVEL SEMANTICS FOR APPLIED SYSTEMS,#ALBERTO_LAVELLI#BERNARDO_MAGNINI#CARLO_STRAPPARAVA
A921004,A PARSER FOR REAL_TIME SPEECH SYNTHESIS OF CONVERSATIONAL TEXTS,#JOAN_BACHENKO#JEFFREY_DAUGHERTY#EILEEN_FITZPATRICK
A921005,Real_time linguistic analysis for continuous speech understanding,#PAOLO_BAGGIA#ELISABETTA_GERBINO#EGIDIO_GIACHIN_#CLAUDIO_RULLENT
A921006,Applied Text Generation,#OWEN_RAMBOW#TANYA_KORELSKY
A921007,Automatic Generation of Multimodal Weather Reports from Datasets,#STEPHAN_M_KERPEDJIEV
A921008,Generating Spatial Descriptions for Cross_modal References,#PETER_WAZINSKI
A921009,Automatic Generation of On_Line Documentation in the IDAS Project,#EHUD_REITER#CHRIS_MELLISH#JOHN_LEVINE
A921010,Integrating Natural Language Components into Graphical Discourse,#STEPHAN_DILLEY#JOHN_BATEMAN#ULRICH_THIEL#ANNE_TISSEN
A921011,The Acquisition of Lexical Knowledge from Combined Machine_Readable Dictionary Sources,#ANTONIO_SANFILIPPO#VICTOR_POZNATLSKI
A921012,The ACQUILEX LKB_ representation issues in semi_automatic acquisition of large lexicons,#ANN_COPESTAKE
A921013,Computational Lexicons_ the Neat Examples and the Odd Exemplars,#ROBERTO_BASILI#MARIA_TERESA_PAZIENZA#PAOLA_VELARDI
A921014,Automatic Learning for Semantic Collocation,#SATOSHL_SEKINE#JEREMY_JCARROLL#SOFIA_ANANIADOU#JUNICHI_TSUJII
A921015,Detecting and Correcting Morpho_syntactic Errors in Real Texts,#THEO_VOSSE
A921016,XUXEN_ A Spelling Checker_Corrector for Basque Based on Two_Level Morphology,#AGIRRE_E#ALEGRIA_I#ARREGI_X#ARTOLA_X#DIAZ_DE_ILARRAZA_A#MARITXALAR_M#SARASOLA_K#URKIA_M
